Abstract We investigate the sedimentological and mineralogical properties of a debris flow deposit west of Cayambe Volcanic Complex, an ice-clad edifice in Ecuador. The deposit exhibits a matrix facies containing up to 16 wt�f clays. However, the stratigraphic relationship of the deposit with respect to the Canguahua Formation, a widespread indurated volcaniclastic material in the Ecuadorian inter-Andean Valley, and the deposit alteration mineralogy differ depending on location. Thus, two different deposits are identified. The Río Granobles debris flow deposit (~1 km3) is characterised by the alteration mineral assemblage smectite   jarosite, and sulphur isotopic analyses point to a supergene hydrothermal alteration environment. This deposit probably derives from a debris avalanche initiated before 14–21 ka by collapse of a hydrothermally altered rock mass from the volcano summit. In contrast, the alteration mineralogy of the second debris flow deposit, which may itself comprise more than one unit, is dominated by halloysite   smectite and relates to a shallower and more recent (<13 ky) mass movement of high-altitude (>3200 m) volcanic soils. Our study reinforces the significance of hydrothermal alteration in weakening volcano flanks and in favouring rapid transformation of a volcanic debris avalanche into a clay-rich debris flow. It also demonstrates that mineralogical analysis provides crucial information for resolving the origin of a debris flow deposit in volcanic terrains. Finally, we posit that slope instability, promoted by ongoing subglacial hydrothermal alteration, remains a significant hazard at Cayambe Volcanic Complex.
debris flow         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Debris_flow           

volcano                       0.9999999998044586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

rock                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rock_(geology)        

facies                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Facies                

ky                            0.9995326710135033^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kentucky              

debris flow                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Debris_flow           

smectite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clay_minerals         

indurated                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diagenesis            

volcanic                      0.9999985788002599^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

stratigraphic                 0.9999482771345698^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stratigraphy          

halloysite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Halloysite            

mineralogy                    0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

volcanic                      0.9999985788002599^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

sedimentological              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sedimentology         

Ecuadorian                    0.999999999749889^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecuador               

clays                         0.9963569378665218^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Clay                  

debris flow                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Debris_flow           

jarosite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Jarosite              

debris flow                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Debris_flow           

inter-Andean Valley           0.9999999996421138^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inter-Andean_Valley   

hydrothermal                  0.9999999999372449^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrothermal_circulation

volcaniclastic                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyroclastic_rock      

debris avalanche              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Landslide             

sulphur                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sulfur                

matrix                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Matrix_(geology)      

Cayambe                       0.9999938572354898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cayambe_(volcano)     

volcano                       0.9999999998044586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

Ecuador                       0.9999999997919531^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecuador               

hydrothermally                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrothermal_circulation

debris flow                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Debris_flow           

volcanic                      0.9999985788002599^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcano               

hydrothermal                  0.9999999999372449^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrothermal_circulation

mineralogy                    0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

Cayambe                       0.9999938572354898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cayambe_(volcano)     

smectite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clay_minerals         

hydrothermal                  0.9999999999372449^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrothermal_circulation

debris avalanche              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Landslide             

supergene                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Supergene_(geology)   

