Abstract The EPR spectrum of the spin 1/2 paramagnetic centers with a relatively slow relaxation is considered in the case when they are coupled via the Heisenberg exchange interaction to partners which have short times of the longitudinal and transverse paramagnetic relaxation. Under these conditions only the EPR line of paramagnetic centers with a relatively slow relaxation is detectable in experiment. The shape of this line is analyzed by solving numerically kinetic equations for the spin density matrix for simple model systems. Depending on a ratio between the exchange integral and the paramagnetic relaxation rates of partner spins, the EPR line shifts in opposite directions. For moderate relaxation rates, as the relaxation rates decrease, the EPR line shifts toward the gravity center of the total EPR spectrum. In the case of extremely fast relaxation, as the relaxation rates decrease, the reverse shift of the EPR line is expected, the line shifts away from the gravity center of the total EPR spectrum. This type of the non-monotonous line shift was experimentally observed for the monocrystal of [CuNd2(C4O4)4(H2O)16] · 2H2O when relaxation rates were changed by temperature variation.
H2O                 0.9999954745045525^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

paramagnetic relaxation       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Paramagnetism         

paramagnetic centers          0.9999999971180387^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Paramagnetism         

paramagnetic centers          0.9999999971180387^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Paramagnetism         

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

paramagnetic relaxation       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Paramagnetism         

gravity                       0.9999997754547646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gravitation           

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

spectrum                      0.8419025767192909^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

Heisenberg                    0.9722910053373045^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_state         

density matrix                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_matrix        

spin                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spin_(physics)        

gravity                       0.9999997754547646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gravitation           

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

exchange interaction          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Exchange_interaction  

spectrum                      0.8419025767192909^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

spectrum                      0.8419025767192909^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

C4O4                          0.6525696908794549^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyclobutanetetrone    

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

EPR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron_paramagnetic_resonance

