Abstract  Thickets of Rhododendron maximum (Ericaceae) (Rm) in the southern Appalachians severely limit regeneration of hardwood and coniferous seedlings. Experimental blocks were established in and out of Rm thickets in a mature, mixed hardwood/conifer forest in Macon County, N.C. Litter and organic layer substrates were removed, composited and redistributed among plots within the blocks (except for control plots). Seedlings of northern red oak (Quercus rubra) and eastern hemlock (Tsuga canadensis) were planted in the plots and harvested at the end of the first and second growing seasons. Litter manipulation had no effect on total mycorrhizal colonization, but the distribution of Cenococcum geophilum mycorrhizae was altered. After the first year, percent mycorrhizal colonization of hemlocks not in Rm thickets (62�was at least three times higher than in Rm thickets (19� and the ramification index (no. of mycorrhizae cm–1) had increased by more than a factor of four (2.83 versus 0.61). In addition, colonization of 1-year-old hemlocks by C. geophilum was significantly higher within blocks with (10.4�than without (4.6�Rm. Differences in mycorrhizal colonization, ramification indices and colonization by C. geophilum were absent or less pronounced on 2-year-old hemlocks and 1- and 2-year-old oak seedlings. The biomasses of first year oak roots and shoots and second year shoots were 50�ess in Rm thickets. Biomasses of first year hemlock roots and second year shoots were also reduced. Mycorrhizal parameters were correlated with some growth parameters only for hemlock seedlings, but did not explain most of the variation observed.
substrates          0.9999981754350121^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Substrate_(biology)   

Macon County                  0.9616435830856898^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Macon_County,_North_Carolina

hardwood                      0.9248910474598319^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hardwood              

mycorrhizae                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

Rhododendron maximum          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rhododendron_maximum  

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

northern red oak              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_rubra         

Mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

hemlocks                      0.9997547162628097^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tsuga                 

hemlock                       0.9991410104189302^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tsuga                 

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

eastern hemlock               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tsuga_canadensis      

conifer                       0.9999999999977263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pinophyta             

biomasses                     0.9920926427101593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

hardwood                      0.9248910474598319^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hardwood              

ramification                  0.9253165091805748^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ramification          

mycorrhizal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

ramification                  0.9253165091805748^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ramification          

mycorrhizae                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

coniferous                    0.9999999999663487^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pinophyta             

southern Appalachians         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Appalachian_Mountains 

Tsuga canadensis              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tsuga_canadensis      

hemlocks                      0.9997547162628097^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tsuga                 

hemlocks                      0.9997547162628097^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tsuga                 

hemlock                       0.9991410104189302^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tsuga                 

Quercus rubra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quercus_rubra         

Ericaceae                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ericaceae             

