Abstract Many researchers have employed cryopreserved amniotic membrane (CAM) in the treatment of a severely damaged cornea, using corneal epithelial cells cultured on an amniotic membrane (AM). In this study, two Teflon rings were made for culturing the cells on the LAM and CAM, and were then used to support the AM, which is referred to in this paper as an Ahn’s AM supporter. The primary corneal epithelial cells were obtained from the limbus, using an explantation method. The corneal epithelium could be reconstructed by culturing the third-passage corneal epithelial cells on the AM. A lyophilized amniotic membrane (LAM) has a higher rate of graft take, a longer shelf life, is easier to store, and safer, due to gamma irradiation, than a CAM. The corneal epithelium reconstructed on the LAM and CAM, supported by the two-Teflon rings, was similar to normal corneal epithelium. However, the advantages of the LAM over that of the CAM make the former more useful. The reconstruction model of the corneal epithelium, using AM, is considered as a goodin vitro model for transplantation of cornel epithelium into patients with a severely damaged cornea.
Teflon              0.9999999999940883^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polytetrafluoroethylene

shelf life                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Shelf_life            

corneal epithelium            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

corneal epithelial cells      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

CAM                           0.9756316812119619^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_adhesion_molecule

corneal epithelium            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

CAM                           0.9756316812119619^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_adhesion_molecule

AM                            0.9996738175259412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

corneal epithelium            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

membrane                      0.9532736279080287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biological_membrane   

CAM                           0.9756316812119619^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_adhesion_molecule

cornel                        0.7393645894487796^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cornus_mas            

corneal epithelial cells      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

membrane                      0.9532736279080287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biological_membrane   

epithelium                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Epithelium            

CAM                           0.9756316812119619^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_adhesion_molecule

CAM                           0.9756316812119619^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_adhesion_molecule

AM                            0.9996738175259412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

corneal epithelial cells      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

cornea                        0.9999998350030092^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cornea                

cells                         0.9999999999670308^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_(biology)        

AM                            0.9996738175259412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

cryopreserved                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cryopreservation      

membrane                      0.9532736279080287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biological_membrane   

AM                            0.9996738175259412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

AM                            0.9996738175259412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Amplitude_modulation  

corneal epithelium            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_epithelium    

cornea                        0.9999998350030092^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cornea                

lyophilized                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Freeze-drying         

