Abstract This study compares quadratic equations sections of Korean and American textbooks. The number of topics, contents and mathematics items were analyzed. The results show Korean students learn some topics relatively earlier than American students. American textbooks include more problems requiring explanations and various representations and problems requiring higher level cognitive demand. This result could indicate that textbooks might not be the reason for American and Korean students’ performances in international comparative studies. More studies analyzing other standards based textbooks and teaching practice might be needed to have further understanding of mathematics education in two countries.
cognitive           0.9742715178942957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cognition             

quadratic equations           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quadratic_equation    

American                      0.9683902645994997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

American                      0.9683902645994997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

Korean                        0.9949206131944579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Korean_language       

mathematics education         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mathematics_education 

Korean                        0.9949206131944579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Korean_language       

Korean                        0.9949206131944579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Korean_language       

American                      0.9683902645994997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

American                      0.9683902645994997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

