Abstract To facilitate a redesign of current economic and legal institutions to protect the environmental resource basis of material well-being, this paper proposes a new type of micro-accounting called environmental resource accounting (ERA) and illustrates its usefulness in terms of several practical examples. ERA consists of the preparation of a periodic environmental balance sheet and the statement of physical input and output, where key terminologies such as environmental assets, environmental liabilities, and (net) environmental capital are defined in terms of the functional theory of resources and of physical and legal characteristics constraining an accounting entity’s management of environmental resources. Illustrative examples clearly show an advantage of public trust management over public domain management in enabling government to take precautionary action and the useful role of ERA in supplying physical and legal information complementing the current public development corporation’s financial accounting system. The paper also discusses how ERA is related to two representative modification systems of national accounting.
financial accounting1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Financial_accountancy 

public domain                 0.9999999817173377^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Public_domain         

trust                         0.7636705337065388^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Trust_(social_sciences)

balance sheet                 0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Balance_sheet         

ERA                           0.9998916963495965^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Employment_Rights_Act_1996

accounting                    0.9971713058551829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Financial_accountancy 

ERA                           0.9998916963495965^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Employment_Rights_Act_1996

ERA                           0.9998916963495965^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Employment_Rights_Act_1996

environmental assets          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Natural_environment   

accounting                    0.9971713058551829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Financial_accountancy 

accounting                    0.9971713058551829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Financial_accountancy 

ERA                           0.9998916963495965^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Employment_Rights_Act_1996

