Abstract We study magnetic power spectra of active and quiet regions by using Big Bear Solar Observatory and SOHO/MDI measurements of longitudinal magnetic fields. The MDI power spectra were corrected with Gaussian Modulation Transfer Function. We obtained reliable magnetic power spectra in the high wave numbers range, up to k=4.6 Mm−1, which corresponds to a spatial scale l=1.4 Mm. We find that the occurrence of the spectral discontinuity at high wave numbers, k≥3 Mm−1, largely depends on the spatial resolution of the data and it appears at progressively higher wave numbers as the resolution of the data improves. The spectral discontinuity in the raw spectra is located at wave numbers about 3 times smaller than wave numbers, corresponding to the resolution of the data, and about 1.5–2.0 times smaller in the case of the noise- and-resolution corrected spectra. The magnetic power spectra for active and quiet regions are different: active-region power spectra are described as ∼k −1.7, while in a quiet region the spectrum behaves as ∼k −1.3. We suggest that the difference can be due to small-scale dynamo action in the quiet-Sun photosphere. Our estimations show that the dynamo can generate more than 6% of the observed magnetic power.
magnetic fields     0.9999999452788885^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

power spectra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spectral_density      

photosphere                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosphere           

MDI                           0.9869942027133253^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_document_interface

dynamo                        0.5702815796920307^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamo_theory         

discontinuity                 0.9943309508115293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Continuous_function   

wave numbers                  0.9999971513960518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

magnetic                      0.9999999999553211^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

wave numbers                  0.9999971513960518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

wave numbers                  0.9999971513960518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

wave numbers                  0.9999971513960518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

MDI                           0.9869942027133253^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiple_document_interface

dynamo                        0.5702815796920307^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamo_theory         

power spectra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spectral_density      

Big Bear Solar Observatory    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Big_Bear_Solar_Observatory

magnetic                      0.9999999999553211^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

power spectra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spectral_density      

magnetic                      0.9999999999553211^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

wave numbers                  0.9999971513960518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

power spectra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spectral_density      

SOHO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solar_and_Heliospheric_Observatory

discontinuity                 0.9943309508115293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Continuous_function   

spectrum                      0.7312101297500287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectrum              

power spectra                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spectral_density      

magnetic                      0.9999999999553211^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

