Abstract Female preferences for two male song characters (duration of syllables [DS], syllable repetition period [SRP]) have been studied in Isophya camptoxypha, an Eastern European duetting bush-cricket. Songs with modified DS or SRP were presented to virgin females and their response songs were recorded and counted. Female preference functions were unimodal for both characters. But while in the case of SRP the obtained female preference function reached its maximum at the mean value of that character, in the case of DS females preferred modified songs with a DS slightly higher than the natural range of that character. A comparison between the obtained preference functions and the DS and SRP values measured in sympatric Isophya species (with similar song structure) suggests that the two examined characters and female preferences for them may be effective components of the species-specific mate recognition system of I. camptoxypha. Moreover DS values may also convey information about the quality of the singing male.
unimodal            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Unimodality           

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

SRP                           0.999865625863781^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Signal_recognition_particle

SRP                           0.999865625863781^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Signal_recognition_particle

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

Eastern European              0.9988977181022008^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eastern_Europe        

syllable                      0.9999998907276282^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Syllable              

SRP                           0.999865625863781^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Signal_recognition_particle

sympatric                     0.9992609305999179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sympatry              

bush-cricket                  0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tettigoniidae         

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

species                       0.9629649043946176^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

DS                            0.9870030520457291^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nintendo_DS           

SRP                           0.999865625863781^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Signal_recognition_particle

