Abstract.  Computational schemes are presented with which to evaluate the electrostatic Coulomb energy in relativistic molecular electronic structure calculations using a basis of four-component Dirac spinor amplitudes. We demonstrate that algorithms may be constructed and implemented which differ only in minor details from those in common use in nonrelativistic quantum chemistry, and that the four-component formalism is neither as complicated nor as expensive as has been suggested recently in the literature. Spherically symmetrical atomic basis sets are presented which indicate that accurate representations of the Coulomb energy may be obtained using modest expansions of the electronic density in a scalar auxiliary basis set of spherical harmonic Gaussian-type functions.
scalar              0.5770200019550322^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scalar_field          

relativistic                  0.9999803050478687^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Theory_of_relativity  

Coulomb energy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coulomb's_law         

Coulomb energy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coulomb's_law         

electrostatic                 0.9999883488001207^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coulomb's_law         

electronic structure          0.9995033542299281^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_configuration

spherical harmonic            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spherical_harmonics   

quantum chemistry             0.9709588249217445^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_chemistry     

basis sets                    0.9999999856979686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basis_set_(chemistry) 

electronic density            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electronic_density    

basis set                     0.9999999710917113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basis_set_(chemistry) 

Dirac spinor                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dirac_spinor          

algorithms                    0.9999999999973852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algorithm             

