Abstract  Large-scale molecular dynamics simulations with high acceleration energy cluster impact on a diamond surface are performed in order to investigate the surface erosion process. A CO2 cluster of 960 atoms with different acceleration energy (10, 50 and 100 keV/cluster) impacts on the (1 1 1) surface of diamond that consists of more than one million carbon atoms. A typical transient crater and two or three-layered shockwaves are formed for 50 and 100 keV impacts while only small elastic deformation can be seen for 10 keV. The kinetic energy and the volume of the crater are almost linear functions of the acceleration energy, but the erosion is only enhanced by the 100 keV impact. A strong peak of CO appears in the size distribution of the evaporating clusters in that case.
keV                 0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electronvolt          

acceleration                  0.9999999998216254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

keV                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electronvolt          

erosion                       0.9999426550738539^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Erosion               

crater                        0.9999863244909794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impact_crater         

CO                            0.7090664908709349^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

crater                        0.9999863244909794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impact_crater         

energy                        0.9573934520613023^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

keV                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electronvolt          

kinetic energy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kinetic_energy        

CO2                           0.9999998206982516^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

linear functions              0.935769262438781^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Linear_map            

elastic deformation           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Deformation_(engineering)

carbon                        0.9999913814105741^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon                

erosion                       0.9999426550738539^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Erosion               

energy                        0.9573934520613023^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

acceleration                  0.9999999998216254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

energy                        0.9573934520613023^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

acceleration                  0.9999999998216254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

keV                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electronvolt          

