Abstract  Ice-sheet drainage of glacial detritus into the sea involves size fractionation by ice-margin winnowing on a giant scale caused by the lower density of meltwater entering cold seawater. Despite its load of suspended sediment, the fresh water rises to or stays at the sea surface forming turbid surface plumes, whereas the coarse-grained sediment forms bed load. On the Labrador Slope south of the Hudson Strait turbid plumes were supplied by meltwater from the Pleistocene ice sheet (LIS). Sediments with the seismic characteristics of plume deposits occur in a 200-km-long slope sector up to 130 km seawards from the strait. The widespread distribution of these deposits is attributed to entrainment of the surface plumes by the south-flowing Labrador Current and suppressed flocculation due to the high detrital carbonate-content of the suspended sediment. Deposits with typical characteristics of surface plume deposits have been recovered within 20 km from former ice margin south of or in front of outlets, but not north of outlets. They consist of 1 to 2-cm-thick alternations of fine sandy silt/coarse silt layers with finer-grained clayey silt/silty clay, and for brevity are called plumites.
meltwater           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Meltwater             

meltwater                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Meltwater             

sea                           0.999858893224914^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ocean                 

seismic                       0.9938607379458237^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthquake            

fractionation                 0.9583012321830715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fractional_distillation

silt                          0.9541032721281488^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

flocculation                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Flocculation          

suspended sediment            0.9999999967674285^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

detrital                      0.9451296058108065^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Detritus_(geology)    

clay                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Clay                  

suspended sediment            0.9999999967674285^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

detritus                      0.9341756977475865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Detritus              

sea                           0.999858893224914^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ocean                 

silty                         0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silt                  

ice                           0.7869881281370048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ice_sheet             

bed load                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bed_load              

Labrador                      0.6346795330592179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Labrador_Sea          

Hudson Strait                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hudson_Strait         

Labrador Current              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Labrador_Current      

silt                          0.9541032721281488^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

winnowing                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Winnowing             

turbid                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Turbidity             

turbid                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Turbidity             

seawater                      0.9713498703757945^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Seawater              

entrainment                   0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Entrainment_(physical_geography)

ice sheet                     0.9903526313932295^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ice_sheet             

silt                          0.9541032721281488^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

sediment                      0.9999999999977263^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment              

Pleistocene                   0.9999896826976921^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pleistocene           

glacial                       0.999993852158949^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Glacial_period        

