Abstract Impatiens jinpingensis, a new species of Balsaminaceae from Yunnan, China, is described and illustrated. It is compared to the three similar species (Impatiens kamtilongensis, Impatiens wuchengyihii and Impatiens lancisepala) from Yunnan, China.
Balsaminaceae       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Balsaminaceae         

Impatiens                     0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impatiens             

Impatiens                     0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impatiens             

China                         0.9999892302676437^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

Yunnan                        0.9999823033187867^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Yunnan                

Impatiens                     0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impatiens             

Yunnan                        0.9999823033187867^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Yunnan                

China                         0.9999892302676437^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/China                 

species                       0.9999999561811147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

Impatiens                     0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Impatiens             

species                       0.9999999561811147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

