Summary The distribution and population density of the mole (Talpa europaea L.) and its main food item, earthworms (Lumbricidae) were determined in relation to physical habitat factors in an upland pasture in southeast Scotland. The results showed that the species distribution and the abundance of earthworms were related to the physical habitat. Moles lived in the areas where earthworms were more abundant, and fewer moles were found in the areas with few earthworms. The distribution of moles was not related to the physical habitat. However, because the physical habitat directly limits the abundance of earthworms, it also indirectly influences the abundance of moles.
population density  0.9998641478956408^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Population_density    

earthworms                    0.9999991715636177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthworm             

moles                         0.9864933822705173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_mole         

habitat                       0.9999595035568886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

habitat                       0.9999595035568886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

habitat                       0.9999595035568886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

earthworms                    0.9999991715636177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthworm             

Scotland                      0.9996310853909492^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scotland              

mole                          0.9664497519530799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_mole         

earthworms                    0.9999991715636177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthworm             

habitat                       0.9999595035568886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

earthworms                    0.9999991715636177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthworm             

moles                         0.9864933822705173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_mole         

moles                         0.9864933822705173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_mole         

Talpa europaea                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/European_mole         

species                       0.9996477509913573^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

earthworms                    0.9999991715636177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earthworm             

Lumbricidae                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lumbricidae           

