Abstract  A forest fire event is influenced by climatic conditions and is supported by accumulation of fuel on forest floor. After forest fire, photosynthetically active solar radiation was reduced due to accumulation of ash and dust particles in atmosphere. Post-fire impacts on Quercus leucotrichophora, Rhododendron arboreum and Lyonia ovalifolia in a broadleaf forest were analysed after a wild fire. Bark depth damage was greatest for L. ovalifolia and least for Q. leucotrichophora. Regeneration of saplings was observed for all the tree species through sprouting. Epicormic recovery was observed for the trees of all the species. Young trees of Q. leucotrichophora (<40 cm circumference at breast height) were susceptible to fire as evident by the lack of sprouting. Under-canopy tree species have a high potential for recovery as evident by greater length and diameter of shoots and numbers of buds and leaves per shoot than canopy species. Leaf area, leaf moisture and specific leaf area were greater in the deciduous species, with few exceptions, than in evergreen species.
deciduous           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Deciduous             

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

evergreen                     0.9968867783147602^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evergreen             

photosynthetically            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosynthesis        

Quercus leucotrichophora      0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quercus_incana        

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

forest fire                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wildfire              

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

canopy                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Canopy_(biology)      

solar radiation               0.9999999999064357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunlight              

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

Lyonia ovalifolia             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lyonia_ovalifolia     

atmosphere                    0.9788931682181883^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atmosphere            

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

Rhododendron arboreum         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rhododendron_arboreum 

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

broadleaf forest              0.9912427199438519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperate_broadleaf_and_mixed_forest

breast                        0.6503068057310052^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Breast                

forest fire                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wildfire              

