Abstract The amount and seasonality of rainfall varies strongly in the tropics, and plant species abundance, distribution and diversity are correlated with rainfall. Drought periods leading to plant stress occur not only in dry forests, but also in moist and even wet forests. We quantified experimentally the effect of drought on survival of first year seedlings of 28 co-occurring tropical woody plant species in the understory of a tropical moist forest. The seedlings were transplanted to plots and subjected to a drought and an irrigation treatment for 22 weeks during the dry season. Drought effects on mortality and wilting behavior varied greatly among species, so that relative survival in the dry treatment ranged from 0% to about 100% of that in the irrigated treatment. Drought stress was the main factor in mortality, causing about 90% (median) of the total mortality observed in the dry treatment. In almost half of the species, the difference in survival between treatments was not significant even after 22 weeks, implying that many of the species are well adapted to drought in this forest. Relative drought survival was significantly higher in species associated with dry habitats than in those associated with wet habitats, and in species with higher abundance on the dry side of the Isthmus of Panama, than in those more abundant on the wet side. These data show that differential species survival in response to drought, combined with variation in soil moisture availability, may be important for species distribution at the local and regional scale in many tropical forests.
differential        0.993089126243964^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Differential_equation 

mortality                     0.9999977182437645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

wet forests                   0.9822703167625804^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropical_and_subtropical_moist_broadleaf_forests

drought                       0.9999409495690528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

habitats                      0.6839854909084997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

tropical moist forest         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tropical_and_subtropical_moist_broadleaf_forests

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

soil moisture                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Water_content         

tropical forests              0.988447508622688^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Tropical_and_subtropical_moist_broadleaf_forests

stress                        0.6188747865844857^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(biology)      

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

Panama                        0.9999998220661314^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Panama                

mortality                     0.9999977182437645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

stress                        0.6188747865844857^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stress_(biology)      

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

understory                    0.9999999924900749^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Understory            

dry season                    0.999888357894992^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Dry_season            

drought                       0.9999409495690528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

drought                       0.9999409495690528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

woody plant                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Woody_plant           

habitats                      0.6839854909084997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat               

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

species                       0.6603560831248273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species_diversity     

drought                       0.9999409495690528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

drought                       0.9999409495690528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

mortality                     0.9999977182437645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

tropics                       0.999913177277359^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Tropics               

irrigation                    0.9999964119776473^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Irrigation            

