Summary Annual grass production in ungrazed plots was 2,731 kg ha-1, litter production was 1,619 kg ha-1 and decomposition was 1,789 kg ha-1. In grazed plots the corresponding figures were 3,157 kg ha-1, 1,440 kg ha-1, and 1,475 kg ha-1 respectively; cattle consumed 1,405 kg ha-1. Litter disappearance was greatest in the dry season: 1,226 kg ha-1 (69% of the annual total) disappearing in the 4 months of December to March in the ungrazed plots, largely due to consumption (790 kg ha-1 in December to March) by fungus-growing termites (Macrotermitinae). A positive linear relationship was found between maximum grass biomass and annual rainfall in West Africa.
dry season          0.9495014885286146^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dry_season            

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

Macrotermitinae               0.999999999983288^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Macrotermitinae       

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

termites                      0.9999999999965894^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Termite               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

West Africa                   0.9985429711399225^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/West_Africa           

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

ha                            0.9997910997031515^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hectare               

grass                         0.9998237583184105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Grass                 

cattle                        0.9999997342016866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cattle                

biomass                       0.9999507021675321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biomass               

grass                         0.9998237583184105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Grass                 

