Abstract We examined whether highly skilled adult readers activate the meanings of high-frequency words using phonology when reading sentences for meaning. A homophone-error paradigm was used. Sentences were written to fit 1 member of a homophone pair, and then 2 other versions were created in which the homophone was replaced by its mate or a spelling-control word. The error words were all high-frequency words, and the correct homophones were either higher-frequency words or low-frequency words—that is, the homophone errors were either the subordinate or dominant member of the pair. Participants read sentences as their eye movements were tracked. When the high-frequency homophone error words were the subordinate member of the homophone pair, participants had shorter immediate eye-fixation latencies on these words than on matched spelling-control words. In contrast, when the high-frequency homophone error words were the dominant member of the homophone pair, a difference between these words and spelling controls was delayed. These findings provide clear evidence that the meanings of high-frequency words are activated by phonological representations when skilled readers read sentences for meaning. Explanations of the differing patterns of results depending on homophone dominance are discussed.
paradigm            0.9913566855181155^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Paradigm              

phonology                     0.9999999999974989^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phonology             

phonological representations  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Underlying_representation

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

dominant                      0.9992323316491429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dominance_hierarchy   

eye movements                 0.9999998352516422^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Saccade               

Sentences                     0.9999999999104148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sentence_(linguistics)

dominant                      0.9992323316491429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dominance_hierarchy   

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

homophones                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Homophone             

homophone                     0.9999959485192212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homophone             

