Carbon quantum dots (CDs) were widely investigated because of their tunable fluorescence properties and low toxicity. However, so far there have been no reports on in vivo functional studies of hair and skin derived CDs. Here, hair derived CDs (HCDs) and skin derived CDs (SCDs) were produced by using human hair and pig skin as precursors. The quantum yields (QYs) of HCDs and SCDs were quite high, compared to citric acid derived CDs (CCDs). HCDs and SCDs possess optimal photostability, hypotoxicity and biocompatibility in zebrafish, indicating that HCDs and SCDs possess the capacity of being used as fluorescence probes for in vivo biological imaging. The long-time observation for fluorescence alternation of CDs in zebrafish and the quenching assay of CDs by ATP, NADH and Fe3  ions demonstrated that the decaying process of CDs in vivo might be induced by the synergistic effect of the metabolism process. All results indicated that large batches and high QYs of CDs can be acquired by employing natural and nontoxic hair and skin as precursors. To our knowledge, this is the first time to report SCDs, in vivo comparative studies of HCDs, SCDs and CCDs as bioprobes, and explore their mechanism of photostability in zebrafish.
metabolism          0.9999926774275791^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

SCDs                          0.9941843263363593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Superior_canal_dehiscence

CDs                           0.9695734818684631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compact_disc          

fluorescence                  0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

comparative studies           0.7842201453736871^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Comparative_anatomy   

synergistic                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Synergy               

SCDs                          0.9941843263363593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Superior_canal_dehiscence

SCDs                          0.9941843263363593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Superior_canal_dehiscence

zebrafish                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zebrafish             

hair                          0.9999979541574258^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hair                  

CDs                           0.9695734818684631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compact_disc          

biocompatibility              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biocompatibility      

quenching                     0.9102545934158618^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quenching             

alternation                   0.9434216900793533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alternation_(linguistics)

CCDs                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Charge-coupled_device 

SCDs                          0.9941843263363593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Superior_canal_dehiscence

skin                          0.9994444427066148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Skin                  

quantum dots                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quantum_dot           

photostability                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photobleaching        

hair                          0.9999979541574258^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hair                  

SCDs                          0.9941843263363593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Superior_canal_dehiscence

CDs                           0.9695734818684631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compact_disc          

skin                          0.9994444427066148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Skin                  

Carbon                        0.9766596083226078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon                

skin                          0.9994444427066148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Skin                  

CDs                           0.9695734818684631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compact_disc          

CDs                           0.9695734818684631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Compact_disc          

skin                          0.9994444427066148^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Skin                  

nontoxic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Toxicity              

acid                          0.7495541803895712^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acid                  

quantum yields                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quantum_yield         

ions                          0.9999999943261173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

fluorescence                  0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

