Abstract Two alkaline soils collected from the surface horizon (0–15 cm) of two agricultural fields Lakshmikantapur (LKP; 22° 06′ 03″ N and 88° 18′ 19″ E) and Diamond Harbour (DHB; 22° 11′ N and 88° 14′ E) of West Bengal, India were studied to observe the stability of cadmium (Cd) chelate complexes with diethylenetriaminepentaacetatic acid (DTPA) and ethylenediaminetetraacetic acid (EDTA), removing organic matter (OM). The objective of the present study is “determination of the stability constants and the thermodynamic parameters of Cd-DTPA and Cd-EDTA complexes at different pH and temperatures at the soil-water interface”. Complex formation of soil Cd with DTPA and EDTA at the soil-water interface was studied under different ligand-to-metal ratios, pHs and temperatures. Apparent conditional stability constants (log k´) were calculated from the concentrations of Cd chelates and free Cd2 , estimated by solid phase extraction with an ion exchanger. Standard Gibbs energy (ΔG°), standard enthalpy (ΔH°) and standard entropy (ΔS°) of formation were calculated at three different temperatures. The higher stability constants of Cd-DTPA than Cd-EDTA indicated longer persistence of Cd-DTPA at the soil solution interface than Cd-EDTA complex. Increase of ΔG°, ΔH° and ΔS° with progress of temperature revealed that Cd-complex formation was facilitated by temperature. Highly negative ΔG° and positive ΔH° for Cd-complex formation indicated the reaction spontaneous and exothermic. In general, both ligands complexed high percentages of cadmium signalling their role in enhancing remobilization of Cd present in soil and preventing exchange of contaminated Cd from external source with soil mineral matrix; these phenomena may greatly reduce hazard for environment and human health. The result of this study support that DTPA increases solubility and more persistence of Cd in acidic soils within the range of temperature and mole fraction (MF = moles of Cd2  / sum of the moles of Cd2  and chelating agent) than that of EDTA due to higher capability of complex formation with Cd2 . Therefore, DTPA enhanced Cd toxicity in acid soils and groundwater. Complex formation in the presence of DTPA at acidic pH decreases with temperature and increases with pH. The higher per cent of Cd complexed in the presence of DTPA revealed that DTPA is a stronger chelating agent than EDTA at acidic pHs. Whereas, the capability of complex formation by EDTA is lower at lower pH but higher at higher pH.
thermodynamic parameters1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Functions_of_state    

stability constants           0.9999999380211212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Equilibrium_constant  

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

chelating agent               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chelation             

exothermic                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Exothermic            

health                        0.9999765540094027^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Health                

acid soils                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil_pH               

ion exchanger                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion_exchange          

pH                            0.9999999999813554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

soil                          0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

ethylenediaminetetraacetic acid1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

EDTA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

pH                            0.9999999999813554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

pH                            0.9999999999813554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

Complex formation             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coordination_complex  

EDTA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

moles                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_(unit)           

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

soil                          0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

stability constants           0.9999999380211212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Equilibrium_constant  

soil                          0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

pHs                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/PH                    

horizon                       0.9998276312643718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Event_horizon         

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

pHs                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/PH                    

EDTA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

stability constants           0.9999999380211212^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Equilibrium_constant  

MF                            0.9850826095527534^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Medium_frequency      

EDTA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

organic matter                0.999953001372776^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Organic_compound      

conditional                   0.9999998927030505^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Causality             

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

temperature                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Temperature           

pH                            0.9999999999813554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

temperature                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Temperature           

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

interface                     0.9999999834258234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interface_(chemistry) 

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

India                         0.9999920107771594^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/India                 

EDTA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethylenediaminetetraacetic_acid

acid                          0.9999999333217624^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acid                  

chelating agent               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chelation             

acidic soils                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soil_pH               

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

enhanced Cd                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Enhanced_CD           

mineral                       0.999999999984766^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mineral               

cadmium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

soil                          0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soil                  

pH                            0.9999999999813554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

interface                     0.9999999834258234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interface_(chemistry) 

standard enthalpy             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Enthalpy              

solid phase extraction        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solid_phase_extraction

agricultural                  0.9999999996916813^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

interface                     0.9999999834258234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interface_(chemistry) 

groundwater                   0.9999999976480467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Groundwater           

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

acidic                        0.9999996558481735^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

Cd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium               

Complex formation             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coordination_complex  

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

toxicity                      0.9999999543383647^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

alkaline soils                0.9999999992483026^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alkalinity            

acidic                        0.9999996558481735^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

signalling                    0.991098698209831^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cell_signaling        

mole fraction                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_fraction         

entropy                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Entropy               

chelates                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chelation             

DTPA                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentetic_acid         

solubility                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solubility            

temperature                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Temperature           

West Bengal                   0.9999070182766573^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/West_Bengal           

Gibbs energy                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gibbs_free_energy     

Diamond Harbour               0.9994694938836582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diamond_Harbour       

chelate complexes             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chelation             

ligands                       0.999999999996362^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ligand                

DHB                           0.9999999991562163^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/District_Health_Board 

matrix                        0.9241057170819641^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(mathematics)  

temperature                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Temperature           

moles                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mole_(unit)           

