Abstract In 2010, land trusts in the U.S. had protected nearly 50 million acres of land, with much of it providing habitat for wildlife. However, the extent to which land trusts explicitly focus on wildlife conservation remains largely unknown. We used content analysis to assess land trust involvement in wildlife and habitat conservation, as reflected in their mission statements, and compared these findings with an organizational survey of land trusts. In our sample of 1358 mission statements, we found that only 17 �f land trusts mentioned “wildlife,” “animal,” or types of wildlife, and 35 �entioned “habitat” or types. Mission statements contrasted sharply with results from a land trust survey, in which land trusts cited wildlife habitat as the most common and significant outcome of their protection efforts. Moreover, 77 �f land trusts reported that at least half of their acreage protected wildlife habitat, though these benefits are likely assumed. Importantly, mission statement content was not associated with the percentage of land reported to benefit wildlife. These inconsistencies suggest that benefits to wildlife habitat of protected land are recognized but may not be purposeful and strategic and, thus, potentially less useful in contributing toward regional wildlife conservation goals. We outline the implications of this disconnect, notably the potential omission of wildlife habitat in prioritization schema for land acquisition and potential missed opportunities to build community support for land trusts among wildlife enthusiasts and to develop partnerships with wildlife conservation organizations.
schema              0.9519150525542888^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Schema_(psychology)   

acres                         0.9999999993689244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acre                  

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

mission statements            0.9872497101381652^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mission_statement     

U.S.                          0.9976852269321782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Federal_government_of_the_United_States

wildlife conservation         0.8640319471292938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife_conservation 

content analysis              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Content_analysis      

land trust                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Land_trust            

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

mission statement             0.9975225071888268^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mission_statement     

mission statements            0.9872497101381652^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mission_statement     

habitat conservation          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

wildlife conservation         0.8640319471292938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife_conservation 

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

land trusts                   0.9914734801465954^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Land_trust            

wildlife habitat              0.9999626766320694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

habitat                       0.9997368485916563^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

habitat                       0.9997368485916563^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

wildlife conservation         0.8640319471292938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife_conservation 

wildlife habitat              0.9999626766320694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

land trust                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Land_trust            

wildlife habitat              0.9999626766320694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

wildlife habitat              0.9999626766320694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Habitat_conservation  

wildlife                      0.9999999215407374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wildlife              

