Abstract Software reuse can be defined as the process of creating software products from the existing ones rather than developing software from scratch. Thus, software reuse is normally proposed to increase software productivity and quality and leads to economic benefits. In this sense, the reuse of software requirements has received important attention because it provides a solid support to develop quality software through obtaining and reusing quality software requirements [i.e., software product line (SPL) approach used in large-sized software enterprises]. However, the small-sized enterprises—which represent up to 85 �f all software organizations in many countries around the world—cannot implement a SPL approach because it does not fit with the context, properties, and complexity of their software projects. Moreover, the software engineering community has not adequately explored a more proper approach in the context of small-sized software enterprises. The use of a software requirements catalog could be this proper approach. In this context, the aim of this paper was to introduce the requirements reuse model for software requirements catalog (RRMSRC). Also, a set of guidelines to perform the main activities defined for reusing functional requirements within small-sized software enterprises is provided. As evidence of its feasibility, RRMSRC has been used in an industrial context, and the obtained results and learned lessons are summarized.
industrial          0.9999856549516198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Industry              

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

SPL                           0.999997250207827^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sound_pressure        

software engineering          0.999999999872216^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Software_engineering  

software requirements         0.9999999999456577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Requirement           

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

functional requirements       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Functional_requirement

software requirements         0.9999999999456577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Requirement           

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

quality software              0.999999999823217^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Quality_Software      

software reuse                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Code_reuse            

software requirements         0.9999999999456577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Requirement           

quality software              0.999999999823217^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Quality_Software      

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

productivity                  0.9999997688875323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Productivity          

SPL                           0.999997250207827^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sound_pressure        

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

software requirements         0.9999999999456577^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Requirement           

Software reuse                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Code_reuse            

software                      0.9864821536590499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software_engineering  

