Abstract We report a new composition of optical fiber containing ZrO2 to get better solubility of Er and Er/Yb for efficient high power optical amplifier. Performance of the doped fibers composed of zirconia–yttria–alumina–silica glass–ceramic host is studied for multi-wavelength-channel amplification in C-band region with core as well as cladding pumped configuration. The cross-section of the fibers is made almost hexagonal and coated with low index polymer acrylate resin. Maximum output power of 0.5 W is achieved at 1572 nm when I/P signal is maintained in the range  6 to 9 dBm at pump power of 4 W. This type of glass composition doped with Er shows 30 �ump conversion efficiency, however, there is a scope for improvement.
nm                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

cladding                      0.9999930981489915^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cladding_(fiber_optics)

fibers                        0.9999992498770183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fiber                 

hexagonal                     0.7607415042452728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hexagon               

dBm                           0.8497420061273752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Decibel               

conversion efficiency         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Energy_conversion_efficiency

glass                         0.9990753302899235^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Glass                 

optical amplifier             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Optical_amplifier     

region                        0.8606827800635121^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Region                

ZrO2                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zirconium_dioxide     

doped                         0.7988250548732254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dopant                

ump                           0.9675013894365292^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Union_for_a_Popular_Movement

solubility                    0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solubility            

optical fiber                 0.9999999997994564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optical_fiber         

fibers                        0.9999992498770183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fiber                 

acrylate                      0.9877044755540808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acrylate              

C-band                        0.9999999663593832^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/C_band                

pump                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Laser_pumping         

resin                         0.9820146466063175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Resin                 

signal                        0.9606391788543176^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Signal_(electrical_engineering)

doped                         0.7988250548732254^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dopant                

amplification                 0.9999991487157089^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optical_amplifier     

polymer                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polymer               

