Abstract We present major and trace element as well as Sr, Nd, and Hf isotope data on a suite of 87 plutonic rock samples from 27 felsic crustal intrusions in seven blocks of the Oman ophiolite. The rock compositions of the sample suite including associated more mafic rocks range from 48 to 79 wt% SiO2, i.e. from gabbros to tonalites. The samples are grouped into a Ti-rich and relatively light rare earth element (LREE)-enriched P1 group [(Ce/Yb) N  > 0.7] resembling the early V1 lavas, and a Ti-poor and LREE-depleted P2 group [(Ce/Yb) N  < 0.7] resembling the late-stage V2 lavas. Based on the geochemical differences and in agreement with previous structural and petrographic models, we define phase 1 (P1) and phase 2 (P2) plutonic rocks. Felsic magmas in both groups formed by extensive fractional crystallization of olivine, clinopyroxene, plagioclase, apatite, and Ti-magnetite from mafic melts. The incompatible element compositions of P1 rocks overlap with those from mid-ocean ridges but have higher Ba/Nb and Th/Nb trending towards the P2 rock compositions and indicating an influence of a subducting slab. The P2 rocks formed from a more depleted mantle source but show a more pronounced slab signature. These rocks also occur in the southern blocks (with the exception of the Tayin block) of the Oman ophiolite implying that the entire ophiolite formed above a subducting slab. Initial Nd and Hf isotope compositions suggest an Indian-MORB-type mantle source for the Oman ophiolite magmas. Isotope compositions and high Th/Nb in some P2 rocks indicate mixing of a melt from subducted sediment into this mantle.
P1                  0.5565230162328856^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sveriges_Radio_P1     

petrographic                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Petrology             

lavas                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lava                  

P2                            0.9122811623102719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/P2_(storage_media)    

incompatible element          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Incompatible_element  

Oman                          0.9999999978278993^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oman                  

Nd                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neodymium             

Nb                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Niobium               

SiO2                          0.9999777986651937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon_dioxide       

plagioclase                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plagioclase           

mid-ocean ridges              0.9999999742456115^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mid-ocean_ridge       

ophiolite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophiolite             

geochemical                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geochemistry          

ophiolite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophiolite             

crustal                       0.9999516512081333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crust_(geology)       

magmas                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magma                 

plutonic rock                 0.9908981801532665^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Intrusion             

rare earth element            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rare_earth_element    

mafic                         0.9999999999533884^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

The rock                      0.6423832840400937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dwayne_Johnson        

apatite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apatite               

light                         0.9996863454799276^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Light                 

sediment                      0.9999999999956799^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sedimentary_rock      

Hf                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hafnium               

P2                            0.9122811623102719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/P2_(storage_media)    

isotope                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotope               

P1                            0.5565230162328856^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sveriges_Radio_P1     

subducting                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Subduction            

Hf                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hafnium               

