Abstract Vertically resolved multi-layer cloud distributions over the globe using 4 years of CloudSat/CALIPSO observations during 2007–2010 are discussed. The quantitative information on the frequency of occurrence of one- to five-layered clouds across the globe is established, which are of immense importance from the global climate standpoint. After segregating the CloudSat observations into different seasons, the 4 years of mean global maps of frequency of occurrence of one to five-layered clouds are discussed in details. These global maps provide much needed quantification of vertically resolved multi-layer clouds by revealing when and where the frequency of occurrence of multi-layer clouds are maximum including the number of layers. On an average, it is observed that over the globe one-, two-, three-, four- and five-layer clouds occur 53, 20, 3.5, 0.4 and 0.04 % of the time respectively. High fraction of single layer clouds is observed over the descending limbs of Hadley cell where relatively large lower tropospheric stability is found. The regions where multi-layer clouds are more frequent are identified and discussed along with large scale circulation. Apart from quantifying the frequency of occurrence of multi-layer clouds, the latitudinal distribution of zonal mean occurrence of cloud base and top altitudes of each cloud layer is constructed for boreal winter and summer. These analyses provide the cloud base and top altitudes of one to five-layered clouds, which are important to understand the vertical structure of the multi-layered clouds. The significance of the present study lies in establishing the global distribution of vertically resolved multi-layer clouds and the role of large-scale dynamics in controlling their distribution for the first time.
quantitative        0.6533405147562695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistics            

climate                       0.9999989409911828^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

cloud                         0.9999999994427071^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

frequency                     0.999999392462726^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

Hadley cell                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hadley_cell           

latitudinal                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Latitude              

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

dynamics                      0.9993272415433032^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamical_system      

boreal                        0.6338433888191832^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Boreal_ecosystem      

quantification                0.9582632476504825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantification        

CloudSat                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/CloudSat              

single                        0.9846919269030193^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Single_(music)        

CloudSat                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/CloudSat              

frequency                     0.999999392462726^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

cloud base                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cloud_base            

CALIPSO                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/CALIPSO               

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

frequency                     0.999999392462726^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

cloud base                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cloud_base            

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

frequency                     0.999999392462726^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

cloud                         0.9999999994427071^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

tropospheric                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Troposphere           

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

clouds                        0.9999999999934062^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cloud                 

