Abstract Rotenone is an active ingredient that has been widely used as pesticide. However, rotenone is poorly soluble in water. Therefore, a water-soluble carrier is needed. Here, we synthesised, characterised and applied oleoyl-carboxymethyl chitosan for the first time as a carrier agent for rotenone. Oleoyl-carboxymethyl chitosan is soluble in acidic, neutral and basic media. The critical micelle concentration of oleoyl-carboxymethyl chitosan is 0.096 mg/mL. Oleoyl-carboxymethyl chitosan formed self-aggregates and exhibited spherical shape with the values of 35.5–66.4 nm. We studied the encapsulation efficiency and loading capacity of oleoyl-carboxymethyl chitosan micelles with different weight ratios of oleoyl-carboxymethyl chitosan to rotenone. We found an encapsulation efficiency of 97 % and a loading capacity of 0.97 % for oleoyl-carboxymethyl chitosan/rotenone 100:1 w/w. Oleoyl-carboxymethyl chitosan released 96.00 % of the rotenone loaded within 50 h. Overall, our findings show the feasibility of oleoyl-carboxymethyl chitosan as a novel water-solubilising agent for pesticide formulations.
nm                  0.999999995573944^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Nanometre             

spherical                     0.9999974969122781^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sphere                

rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

critical micelle concentration1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Critical_micelle_concentration

encapsulation                 0.999040820705281^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Capsule_(pharmacy)    

micelles                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Micelle               

rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

pesticide                     0.9999999999050715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pesticide             

carrier                       0.9804352216631446^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge_carrier        

acidic                        0.938042838924096^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Acid                  

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

soluble                       0.9999999984071337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solubility            

pesticide                     0.9999999999050715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pesticide             

active ingredient             0.9999961505444812^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Active_ingredient     

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

encapsulation                 0.999040820705281^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Capsule_(pharmacy)    

rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

Rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

water                         0.9999465384851933^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

carrier                       0.9804352216631446^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge_carrier        

soluble                       0.9999999984071337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solubility            

mL                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Litre                 

rotenone                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rotenone              

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

water-soluble                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solubility            

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

