Abstract We investigated the role that linguistic abstraction may play in people’s perceptions of gender in spoken language. In the first experiment, participants told stories about their best friend and romantic partner. Variations in linguistic abstraction and gender-linked adjectives for describing their close others were examined. Participants used significantly more abstract language to describe men compared to women, possibly reflecting a gender stereotype associated with the dispositionality factor of linguistic abstraction. In a second experiment, a new group of participants judged the gender of the protagonists from the stories generated in Experiment 1, after the explicit linguistic gender cues were removed. Consistent with the dispositionality factor, linguistic abstraction moderated the effects of the gender stereotypicality of the context (masculine, feminine, or neutral) on participants’ gender judgments. Discussion focuses on the implications of the results for the communication of gender stereotypes and the effects of linguistic abstraction in more naturalistic language.
naturalistic        0.7678725188362744^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Realism_(arts)        

feminine                      0.9971378000657454^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Femininity            

masculine                     0.999516784415156^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Masculinity           

language                      0.9999981283071301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language              

gender                        0.9996943834926962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

abstraction                   0.9999737237713636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

abstraction                   0.9999737237713636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

gender stereotypes            0.9999961797732551^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender_role           

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

gender stereotype             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gender_role           

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

spoken language               0.9986326241423638^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spoken_language       

abstraction                   0.9999737237713636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

communication                 0.9862755805606789^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communication         

abstract                      0.9980885407844338^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

gender                        0.9996943834926962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

gender                        0.9996943834926962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

gender                        0.9996943834926962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

abstraction                   0.9999737237713636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

romantic                      0.9473625212807333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Romance_(love)        

gender                        0.9996943834926962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

adjectives                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Adjective             

abstraction                   0.9999737237713636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstraction           

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

protagonists                  0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Protagonist           

linguistic                    0.991559364532805^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language              

language                      0.9999981283071301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language              

