Abstract We argue that mereological essentialism for events is independent of mereological essentialism for objects, and that the philosophical fallout of embracing mereological essentialism for events is minimal. We first outline what we should consider to be the parts of events, and then highlight why one would naturally be inclined to think that the object-question and the event-question are linked. Then, we argue that they are not. We also diagnose why this is the case and emphasize the upshot. In particular, we argue that the way we evaluate modal claims which concern events differs from the way we evaluate modal claims which concern objects. Ultimately, then, to our title question we say: the answer does not matter as much as you might think.
fallout             0.9999999997377245^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nuclear_fallout       

mereological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mereology             

mereological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mereology             

essentialism                  0.9999999478985742^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Essentialism          

independent                   0.6941248666159183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Independence_(probability_theory)

philosophical                 0.6454255898258069^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Philosophy            

essentialism                  0.9999999478985742^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Essentialism          

essentialism                  0.9999999478985742^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Essentialism          

mereological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mereology             

modal                         0.9999997280187728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Modal_logic           

modal                         0.9999997280187728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Modal_logic           

