Abstract  The daily pollen concentration in the atmosphere of Badajoz (SW Spain) was analysed over a 6-year period (1993–1998) using a volumetric aerobiological trap. The results for the main pollination period are compared with the number of hours of wind each day in the four quadrants: 1 (NE), 2 (SE), 3 (SW) and 4 (NW). The pollen source distribution allowed 16 pollen types to be analysed as a function of their distribution in the four quadrants with respect to the location of the trap. Four of them correspond to species growing in an irrigated farmland environment (Amaranthaceae-Chenopodiaceae, Plantago, Scirpus, and Typha), five to riparian and woodland species (Salix, Fraxinus, Alnus, Populus, and Eucalyptus), four to urban ornamentals (Ulmus, Arecaceae, Cupressaceae, and Casuarina), and three which include the most frequent pollen grains of widely distributed species (Poaceae, Quercus, and Olea). The results show that the distribution of the sources and the wind direction play a very major role in determining the pollen concentration in the atmosphere when these sources are located in certain quadrants, and that the widely distributed pollen sources show no relationship with wind direction. In some years the values of the correlations were not maintained, which leads one to presume that, in order to draw significant conclusions and establish clear patterns of the influence of wind direction, a continuous and more prolonged study will be required.
quadrants           0.9631717993712996^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Address_(geography)   

atmosphere                    0.9735380205103521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atmosphere_of_Earth   

Salix                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Willow                

Plantago                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plantago              

function                      0.9994611349768527^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Function_(mathematics)

Alnus                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Alder                 

SW                            0.8206124869803575^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Southwest,_Washington,_D.C.

irrigated                     0.9999997143852805^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Irrigation            

woodland                      0.9999999999679403^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Woodland              

pollination                   0.9985835668560753^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pollen                

pollen grains                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pollen                

SE                            0.744617578265731^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cardinal_direction    

wind                          0.9999957697874268^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wind                  

volumetric                    0.9979513110061085^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volume                

pollen                        0.9999570181386572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pollen                

correlations                  0.9999601345466318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

concentration                 0.999705086770984^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Concentration         

Arecaceae                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Arecaceae             

quadrants                     0.9631717993712996^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Address_(geography)   

Typha                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Typha                 

NE                            0.9258801140276723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cardinal_direction    

wind direction                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wind_direction        

Cupressaceae                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cupressaceae          

ornamentals                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ornamental_plant      

wind direction                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wind_direction        

species                       0.9998817813403105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

species                       0.9998817813403105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

pollen sources                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pollen_source         

pollen                        0.9999570181386572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pollen                

concentration                 0.999705086770984^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Concentration         

pollen source                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pollen_source         

Spain                         0.9999911841357306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spain                 

Fraxinus                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fraxinus              

Quercus                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oak                   

continuous                    0.9803167531733941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability_distribution

Badajoz                       0.9655902805445994^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Badajoz               

pollen                        0.9999570181386572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pollen                

Ulmus                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Elm                   

Poaceae                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Poaceae               

Casuarina                     0.9999929565938358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Casuarina             

