Abstract  Seasonal drought may limit primary productivity in most of the tropics, but the determinants of tree growth are not well known. A 10-year study of the deciduous trees Cochlospermum vitifolium (Willd.) Spreng. (Cochlospermaceae) and Cnidoscolus spinosus Lundell (Euphorbiaceae) in southwestern México showed radial growth to be highly correlated (both r>0.85) only with precipitation during an interval of <2 months in the mid-wet season. Growth was not affected by total annual precipitation or by an early starting or late ending of the wet season, or by heavy rainfall in the dry season. Annual mean girth increments ranged from 0.03 to 3.31 cm and −0.1 to 2.01 cm, respectively. The best model for growth (r 2>0.85) was a linear combination of mid-summer precipitation (positive coefficient) and total precipitation over the previous 2 years (negative coefficient). Comparison with other species showed heterogeneous responses of wood production to climate variation, and suggests that the range of functional types of dry forest trees is still unknown.
wood                0.9985827321788102^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wood                  

radial                        0.9628943673487056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radius                

Cochlospermaceae              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cochlospermaceae      

precipitation                 0.9999988711064821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

deciduous                     0.9999888284262282^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deciduous             

primary productivity          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Primary_production    

determinants                  0.9999994564567828^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Determinant           

interval                      0.9430750712310503^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interval_(mathematics)

tropics                       0.9999811765252786^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropics               

Euphorbiaceae                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Euphorbiaceae         

drought                       0.9997965522250325^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drought               

Willd.                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carl_Ludwig_Willdenow 

Spreng.                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kurt_Polycarp_Joachim_Sprengel

tree                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tree                  

linear combination            0.9999999976802201^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Linear_combination    

heterogeneous                 0.9999991505232144^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Homogeneity_and_heterogeneity

México                        0.999969855573059^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mexico                

girth                         0.9999743138783719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diameter_at_breast_height

dry season                    0.999994421646063^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Dry_season            

Cnidoscolus                   0.9990275644897221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cnidoscolus           

species                       0.9997763332702371^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

dry forest                    0.9879810922667892^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropical_and_subtropical_dry_broadleaf_forests

precipitation                 0.9999988711064821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

wet season                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wet_season            

rainfall                      0.9999999986855528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

precipitation                 0.9999988711064821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

precipitation                 0.9999988711064821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rain                  

climate                       0.9999998103675305^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

