Abstract  A forest fire event is influenced by climatic conditions and is supported by accumulation of fuel on forest floor. After forest fire, photosynthetically active solar radiation was reduced due to accumulation of ash and dust particles in atmosphere. Post-fire impacts on Quercus leucotrichophora, Rhododendron arboreum and Lyonia ovalifolia in a broadleaf forest were analysed after a wild fire. Bark depth damage was greatest for L. ovalifolia and least for Q. leucotrichophora. Regeneration of saplings was observed for all the tree species through sprouting. Epicormic recovery was observed for the trees of all the species. Young trees of Q. leucotrichophora (<40 cm circumference at breast height) were susceptible to fire as evident by the lack of sprouting. Under-canopy tree species have a high potential for recovery as evident by greater length and diameter of shoots and numbers of buds and leaves per shoot than canopy species. Leaf area, leaf moisture and specific leaf area were greater in the deciduous species, with few exceptions, than in evergreen species.
species             0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

breast height                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diameter_at_breast_height

active solar                  0.9999999999982947^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Active_solar          

Lyonia ovalifolia             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lyonia_ovalifolia     

forest fire                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wildfire              

circumference                 0.9999671359936636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Circumference         

dust                          0.9999944844640588^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dust                  

tree                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tree                  

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

leaf                          0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

evergreen                     0.9968867783147602^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evergreen             

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

tree                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tree                  

forest fire                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wildfire              

Regeneration                  0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Regeneration_(biology)

deciduous                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Deciduous             

atmosphere                    0.9788931682181883^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atmosphere            

ash                           0.9584146765286966^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fraxinus              

leaf                          0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Leaf                  

climatic                      0.9999923689006341^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate               

forest floor                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Forest_floor          

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

fuel                          0.9453709162595202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fuel                  

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

saplings                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tree                  

Rhododendron arboreum         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rhododendron_arboreum 

leaves                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Leaf                  

particles                     0.9999207986087172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particulates          

Quercus leucotrichophora      0.9999999999957936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quercus_incana        

species                       0.8736015325202747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

photosynthetically            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosynthesis        

broadleaf forest              0.9912427199438519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperate_broadleaf_and_mixed_forest

solar radiation               0.9999999999064357^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunlight              

canopy                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Canopy_(biology)      

moisture                      0.6359270527291077^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Humidity              

