Abstract Recently, traditional power grid cannot satisfy the today’s fast development trend of the market, and a more intelligent power system named smart grid is developed acting a significant power infrastructure. How to achieve the energy sellers and buyers’ interact efficiently is a challenging problem for smart grid. The auction requires energy buyers to provide their private bid information to the energy auction servers. However, energy buyers usually do not expect the real information of the bid get leaked out, especially known by other competitors. That means the energy sellers need to inquire suitable bids while preserving the privacy of the energy buyers. In this paper, we propose a novel privacy-preserving degree-matching (PPDM) multi-attribute auction scheme which the winner is generated by comparing sorted all of matching degree between sale solution supplied by energy sellers and biddings submitted by energy buyers. Also, the quantitative and qualitative attributes are classified as quantitative assessment finally in energy sellers and buyers’ bid. Security analysis demonstrates that our scheme based on the difficulty of integer factorization assumption can secure auction privacy, multi-attribute matching, personalized search, and ranked search. Furthermore, performance evaluation shows that the PPDM can significantly reduce computation overhead and it also has moderate communication overhead.
interact            0.9458057406764824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interaction           

performance evaluation        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Performance_appraisal 

auction                       0.9999999992434141^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Auction               

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

integer factorization         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Integer_factorization 

qualitative                   0.9994319426044533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Level_of_measurement  

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

auction                       0.9999999992434141^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Auction               

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

privacy                       0.999981766904981^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Privacy               

smart grid                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Smart_grid            

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

servers                       0.9962997060538111^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Server_(computing)    

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

computation                   0.6530097895814787^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computing             

auction                       0.9999999992434141^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Auction               

auction                       0.9999999992434141^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Auction               

infrastructure                0.9695515516365872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infrastructure        

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

energy                        0.9995370990424639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

privacy                       0.999981766904981^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Privacy               

communication overhead        0.9999993431037976^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communication_overhead

quantitative                  0.9964541668089412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Level_of_measurement  

quantitative                  0.9964541668089412^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Level_of_measurement  

power grid                    0.9994102398553851^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrical_grid       

personalized search           0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Personalized_search   

smart grid                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Smart_grid            

