Abstract. We study the compression of polynomially samplable sources. In particular, we give efficient prefix-free compression and decompression algorithms for three classes of such sources (whose support is a subset of {0, 1} n ). 1.We show how to compress sources X samplable by logspace machines to expected length H(X) + O(1). Our next results concern flat sources whose support is in P. 2.If H(X) ≤ k =  n − O(log n), we show how to compress to expected length k + polylog(n − k).3.If the support of X is the witness set for a self-reducible NP relation, then we show how to compress to expected length H(X) + 5.
subset              0.9995914829625113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Subset                

O(1)                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Big_O_notation        

logspace                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/L_(complexity)        

expected length               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Expected_value        

NP                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/NP_(complexity)       

compression                   0.9997748432256186^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_compression      

expected length               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Expected_value        

expected length               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Expected_value        

decompression algorithms      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Decompression_practice

compression                   0.9997748432256186^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Data_compression      

