Abstract With the increasing prevalence of information networks, research on privacy-preserving network data publishing has received substantial attention recently. There are two streams of relevant research, targeting different privacy requirements. A large body of existing works focus on preventing node re-identification against adversaries with structural background knowledge, while some other studies aim to thwart edge disclosure. In general, the line of research on preventing edge disclosure is less fruitful, largely due to lack of a formal privacy model. The recent emergence of differential privacy has shown great promise for rigorous prevention of edge disclosure. Yet recent research indicates that differential privacy is vulnerable to data correlation, which hinders its application to network data that may be inherently correlated. In this paper, we show that differential privacy could be tuned to provide provable privacy guarantees even in the correlated setting by introducing an extra parameter, which measures the extent of correlation. We subsequently provide a holistic solution for non-interactive network data publication. First, we generate a private vertex labeling for a given network dataset to make the corresponding adjacency matrix form dense clusters. Next, we adaptively identify dense regions of the adjacency matrix by a data-dependent partitioning process. Finally, we reconstruct a noisy adjacency matrix by a novel use of the exponential mechanism. To our best knowledge, this is the first work providing a practical solution for publishing real-life network data via differential privacy. Extensive experiments demonstrate that our approach performs well on different types of real-life network datasets.
holistic            0.9999999841606951^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Holism                

prevalence                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prevalence            

adjacency matrix              0.9999997986144739^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adjacency_matrix      

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

correlation                   0.9999999999529336^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

datasets                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Data_set              

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

exponential                   0.9968086093001736^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Time_complexity       

correlation                   0.9999999999529336^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

dataset                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Data_set              

privacy                       0.9999999229983162^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Privacy               

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

vertex                        0.9860146977148151^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

re-identification             0.9999999997983195^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Re-identification     

adjacency matrix              0.9999997986144739^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adjacency_matrix      

differential privacy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_privacy  

adjacency matrix              0.9999997986144739^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adjacency_matrix      

node                          0.999413389778366^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Vertex_(graph_theory) 

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

privacy                       0.9999999229983162^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Privacy               

privacy                       0.9999999229983162^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Privacy               

network                       0.8281971687663401^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_network        

