Abstract The Kodaikanal sunspot data set covering the interval 1906–1987 is analyzed for differential rotation of sunspots of different sizes. As is known, smaller sunspots rotate faster than larger sunspots, and this result is verified in the analysis of this data set. These results agree well with the Mount Wilson sunspot results published earlier. The activity cycle dependence of sunspot rotation is studied. An increase in this rate at the minimum phase is seen, which has been reported earlier. It is demonstrated that this cycle variation is seen for sunspots in all size categories, which suggests that it is not a relative increase in the number of the faster-rotating small sunspots that causes the cycle dependence. These results are discussed as they may relate to subsurface dynamic properties of the Sun.
differential rotation0.9999960624296806^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Differential_rotation 

Sun                           0.9999999949411631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sun                   

minimum phase                 0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Minimum_phase         

sunspots                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunspot               

sunspot                       0.9999999999701004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunspot               

sunspot                       0.9999999999701004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunspot               

sunspot                       0.9999999999701004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunspot               

sunspots                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunspot               

Kodaikanal                    0.9999927076122372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kodaikanal            

sunspots                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunspot               

sunspots                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunspot               

sunspots                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sunspot               

Mount Wilson                  0.9999972047693704^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mount_Wilson_Observatory

