Summary The pathologic-anatomical features of large bowel carcinoma were compared between Japan and the United States in gross as well as histological type using 197 surgical specimens from western Japan during the period of 1963 through 1970. The result together with the materials collected from the literature suggested that there seemed to be definite difference in the anatomical distribution. A relatively high incidence of carcinoma of the rectum and concomitant low incidence of carcinoma of the sigmoid and descending colons in Japan was found to be the major difference when compared with the data published in the American literature. Some difference was also noted in a relatively high incidence of polypoid-type carcinoma and in a relatively low incidence of annular-type carcinoma among Japanese materials in contrast to those of American materials. The reason for these difference is not clearly understood at present and further collection of materials and pertinent data are necessary.
histological        0.99987152660933^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Histology             

carcinoma                     0.9999998597467751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carcinoma             

Japan                         0.9979633981116645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Japan                 

carcinoma                     0.9999998597467751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carcinoma             

United States                 0.9999987681240639^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

incidence                     0.999999999938666^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Incidence_(epidemiology)

American                      0.9983019392184093^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

carcinoma                     0.9999998597467751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carcinoma             

sigmoid                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sigmoid_colon         

incidence                     0.999999999938666^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Incidence_(epidemiology)

Japan                         0.9979633981116645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Japan                 

Japan                         0.9979633981116645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Japan                 

American literature           0.9999999999896545^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_literature   

rectum                        0.9999999772721255^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rectum                

bowel                         0.9998942394895352^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Colon_(anatomy)       

carcinoma                     0.9999998597467751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carcinoma             

incidence                     0.999999999938666^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Incidence_(epidemiology)

incidence                     0.999999999938666^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Incidence_(epidemiology)

carcinoma                     0.9999998597467751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carcinoma             

