Summary In order to find a method for measuring field metabolism of worker ants the elimination of134Cs by two ant species has been investigated. Equations relating temperature to radiocaesium elimination and metabolism have been found. From these equations the relationship between elimination and metabolism is calculated. Consequently, the elimination of the isotope can be used for measuring metabolism. A pilot field experiment withLasius alienus (Först.) reveals that the traditional methods of estimating field metabolism give values which are considerably lower than the value based on caesium elimination rate. This difference is supposed to be mainly due to greater motor activity of the animals in the field. Consequently, the value of the caesium elimination methods is closer to the “true” value of field metabolism.
ants                0.9999999999910187^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ant                   

species                       0.9949349000423929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

motor                         0.7822557661819635^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Motor_cortex          

caesium                       0.9999999999919282^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Caesium               

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

isotope                       0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isotope               

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

caesium                       0.9999999999919282^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Caesium               

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

metabolism                    0.9999996899331817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolism            

ant                           0.9999999528940873^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ant                   

