Abstract  An overview is presented of the phenological models relevant for boreal coniferous, temperate-zone deciduous and Mediterranean coniferous forest ecosystems. The phenology of the boreal forests is mainly driven by temperature, affecting the timing of the start of the growing season and thereby its duration, and the level of frost hardiness and thereby the reduction of foliage area and photosynthetic capacity by severe frost events. The phenology of temperate-zone forests is also mainly driven by temperature. Since temperate-zone forests are mostly mixed-species deciduous forests, differences in phenological response may affect competition between tree species. The phenology of Mediterranean coniferous forests is mainly driven by water availability, affecting the development of leaf area, rather than the timing of phenological events. These phenological models were subsequently coupled to the process-based forest model FORGRO to evaluate the effect of different climate change scenarios on growth. The results indicate that the phenology of each of the forest types significantly affects the growth response to a given climate change scenario. The absolute responses presented in this study should, however, be used with caution as there are still uncertainties in the phenological models, the growth models, the parameter values obtained and the climate change scenarios used. Future research should attempt to reduce these uncertainties. It is recommended that phenological models that describe the mechanisms by which seasonality in climatic drivers affects the phenological aspects of trees should be developed and carefully tested. Only by using such models may we make an assessment of the impact of climate change on the functioning and productivity of different forest ecosystems.
phenological        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

coniferous forest             0.8029174752774056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pinophyta             

climate change                0.9987359795177503^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_change        

Mediterranean                 0.9369600669273238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mediterranean_climate 

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

climate change                0.9987359795177503^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_change        

deciduous                     0.9999974442749506^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deciduous             

boreal                        0.9874700947091141^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Boreal_ecosystem      

Mediterranean                 0.9369600669273238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mediterranean_climate 

climate change scenarios      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Climate_change_scenario

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

coniferous                    0.9998682086535612^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pinophyta             

growing season                0.9999999757302479^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Growing_season        

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

boreal forests                0.9999779512240974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taiga                 

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

species                       0.9999927687341574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

climate change scenarios      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Climate_change_scenario

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

coniferous forests            0.8835791055538917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pinophyta             

phenology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

deciduous forests             0.999953041635238^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Deciduous             

ecosystems                    0.9999994623596276^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

photosynthetic                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosynthesis        

ecosystems                    0.9999994623596276^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

phenological                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenology             

